L,S,A_init,T
430,594,0,1
435,589,0,101
493,531,0,201
502,522,0,301
499,525,0,401
459,565,0,501
551,473,0,601
562,462,0,701
496,528,0,801
542,482,0,901
470,554,0,1001
427,597,0,1101
499,525,0,1201
533,491,0,1301
519,505,0,1401
1024,0,0.2,1
1024,0,0.2,101
1024,0,0.2,201
1024,0,0.2,301
1024,0,0.2,401
1024,0,0.2,501
1024,0,0.2,601
1024,0,0.2,701
1024,0,0.2,801
1024,0,0.2,901
1024,0,0.2,1001
1024,0,0.2,1101
1024,0,0.2,1201
1024,0,0.2,1301
1024,0,0.2,1401
1024,0,0.4,1
1024,0,0.4,101
1024,0,0.4,201
1024,0,0.4,301
1024,0,0.4,401
1024,0,0.4,501
1024,0,0.4,601
1024,0,0.4,701
1024,0,0.4,801
1024,0,0.4,901
1024,0,0.4,1001
1024,0,0.4,1101
1024,0,0.4,1201
1024,0,0.4,1301
1024,0,0.4,1401
1024,0,0.6,1
1024,0,0.6,101
1024,0,0.6,201
1024,0,0.6,301
1024,0,0.6,401
1024,0,0.6,501
1024,0,0.6,601
1024,0,0.6,701
1024,0,0.6,801
1024,0,0.6,901
1024,0,0.6,1001
1024,0,0.6,1101
1024,0,0.6,1201
1024,0,0.6,1301
1024,0,0.6,1401
1024,0,0.8,1
1024,0,0.8,101
1024,0,0.8,201
1024,0,0.8,301
1024,0,0.8,401
1024,0,0.8,501
1024,0,0.8,601
1024,0,0.8,701
1024,0,0.8,801
1024,0,0.8,901
1024,0,0.8,1001
1024,0,0.8,1101
1024,0,0.8,1201
1024,0,0.8,1301
1024,0,0.8,1401
1024,0,1,1
1024,0,1,101
1024,0,1,201
1024,0,1,301
1024,0,1,401
1024,0,1,501
1024,0,1,601
1024,0,1,701
1024,0,1,801
1024,0,1,901
1024,0,1,1001
1024,0,1,1101
1024,0,1,1201
1024,0,1,1301
1024,0,1,1401
1024,0,1.2,1
1024,0,1.2,101
1024,0,1.2,201
1024,0,1.2,301
1024,0,1.2,401
1024,0,1.2,501
1024,0,1.2,601
1024,0,1.2,701
1024,0,1.2,801
1024,0,1.2,901
1024,0,1.2,1001
1024,0,1.2,1101
1024,0,1.2,1201
1024,0,1.2,1301
1024,0,1.2,1401
1024,0,1.4,1
1024,0,1.4,101
1024,0,1.4,201
1024,0,1.4,301
1024,0,1.4,401
1024,0,1.4,501
1024,0,1.4,601
1024,0,1.4,701
1024,0,1.4,801
1024,0,1.4,901
1024,0,1.4,1001
1024,0,1.4,1101
1024,0,1.4,1201
1024,0,1.4,1301
1024,0,1.4,1401
1024,0,1.6,1
1024,0,1.6,101
1024,0,1.6,201
1024,0,1.6,301
1024,0,1.6,401
1024,0,1.6,501
1024,0,1.6,601
1024,0,1.6,701
1024,0,1.6,801
1024,0,1.6,901
1024,0,1.6,1001
1024,0,1.6,1101
1024,0,1.6,1201
1024,0,1.6,1301
1024,0,1.6,1401
1024,0,1.8,1
1024,0,1.8,101
1024,0,1.8,201
1024,0,1.8,301
1024,0,1.8,401
1024,0,1.8,501
1024,0,1.8,601
1024,0,1.8,701
1024,0,1.8,801
1024,0,1.8,901
1024,0,1.8,1001
1024,0,1.8,1101
1024,0,1.8,1201
1024,0,1.8,1301
1024,0,1.8,1401
